"id","brand","company","overall_grade","color_grade","statement","grade_policies","grade_wage","grade_rights","grade_workers","grade_environment","grade_climate"
"278","Kachel","Voyager Distributing Co","4","1","This is higher than the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","No Evidence","No Evidence"
"279","kangaroos","Pentland Brands","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"280","Karen Millen","Boohoo","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"281","Kate Madison","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"282","Kathmandu","Kathmandu","55","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Good Progress","Some Progress"
"283","Katies","Mosaic Group","30","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence","No Evidence"
"284","Kayser","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"285","Keds","Wolverine Worldwide","14","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"286","Kid Nation","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"287","KingGee","Workwear Group","39","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"288","Kipling","VF Corp","54","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Good Progress"
"289","Kipsta","Decathlon","32","3","This company is new to the Ethical Fashion Guide and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","No Evidence","Some Progress","Good Progress"
"290","Kmart","Kmart and Target Australia","57","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Some Progress"
"291","Kold Feet","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"292","Kookai","Kookai","27","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"293","Ksubi","General Pants Group","31","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"294","Kushyfoot","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"295","L'URV","Factory X","36","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"296","L&T","Universal Store","21","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","Some Progress"
"297","Label/Mix","Next","44","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"298","Lacoste","Lacoste","44","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","No Evidence","No Evidence","No Evidence","Limited Progress","Some Progress"
"299","Lark & Ro","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"300","LAUREN","Ralph Lauren","40","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Good Progress"
"301","Leather Architect","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"302","Levi's","Levi Strauss and Co","39","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","No Evidence","Good Progress","Some Progress"
"303","Lily and Dan","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"304","Lily Parker","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"305","Lipsy","Next","44","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"306","Liz Jordan","Mosaic Group","30","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence","No Evidence"
"307","Locale","The Iconic","29","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","Some Progress","Limited Progress","Limited Progress","Some Progress"
"308","Lonsdale","The PAS Group Limited","20","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"309","Lorna Jane","Lorna Jane","20","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"310","Lowes","Lowes","9","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"311","Luck & Trouble","Universal Store","21","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","Some Progress"
"312","Lulu & Rose","Accent Group","16","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence"
"313","Lululemon Athletica","Lululemon Athletica","56","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Some Progress","Limited Progress","Some Progress","Good Progress"
"314","Macpac","Macpac","52","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","No Evidence","Some Progress","Limited Progress","Good Progress","Some Progress"
"315","Made In.","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"316","MAE","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"317","Maggie T","Mosaic Group","30","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence","No Evidence"
"318","Maidenform","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"319","Mango","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"320","Mantaray","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"321","Marco Polo","The PAS Group Limited","20","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"322","Mariella Bella","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"323","Marks & Spencer","Marks & Spencer","46","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"324","Massimo Dutti","Inditex","60","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"325","Match","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"326","Mathers","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"327","Max","Max Fashions","23","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"328","Maya","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"329","McKenzie","JD Sports","40","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"330","MediPeds","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"331","Meraki","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"332","Merchant 1948","Overland","13","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"333","Merrell","Wolverine Worldwide","14","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"334","Mi Piaci","Overland","13","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"335","Mia Lucce","Ezibuy","24","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"336","Midas","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"337","Mighty Good Basics","Mighty Good Basics","86","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Excellent Progress","Excellent Progress","Excellent Progress","Good Progress","Excellent Progress","Some Progress"
"338","Mika Muse","The Iconic","29","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","Some Progress","Limited Progress","Limited Progress","Some Progress"
"339","Milana","David Jones","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"340","Milea","Seafolly","28","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"341","Milkshake","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"342","Millers","Mosaic Group","30","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence","No Evidence"
"343","MIMCO","Country Road Group","53","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Some Progress"
"344","Mindful Dept.","Accent Group","16","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence"
"345","Mini Mango","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"346","Mint Lilac","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"347","Mirrou","Fast Future Brands","2","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"348","Miss Mango","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"349","Miss Shop","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"350","MissPap","Boohoo","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"351","Mitre","Pentland Brands","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"352","Mollini","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"353","Monki","H&M","56","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Good Progress"
"354","Mooks","The PAS Group Limited","20","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"355","Moon & Back","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"356","Mossimo","Brand Collective (Apparel)","12","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Some Progress","Limited Progress","Limited Progress","No Evidence"
"357","Mountain Designs","Spotlight Group","1","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"358","Mountfords","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"359","Myer","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"360","Myx Store","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"361","Nabaiji","Decathlon","32","3","This company is new to the Ethical Fashion Guide and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","No Evidence","Some Progress","Good Progress"
"362","Napapiriji","VF Corp","54","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Good Progress"
"363","Nasty Gal","Boohoo","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"364","Navigator South","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"365","Neon Hart","General Pants Group","31","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"366","Neovision","Universal Store","21","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","Some Progress"
"367","Neuw Denim","ThreeByOne","34","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Some Progress","Limited Progress","No Evidence"
"368","New Balance","New Balance","52","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Good Progress","Good Progress","Limited Progress","Some Progress"
"369","Next","Next","44","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"370","Nike","Nike","50","5","This is lower than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Good Progress","Some Progress"
"371","Nina","WM Ritchie","2","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"372","Nine West","Nine West","0","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"373","NNT Uniforms","Workwear Group","39","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"374","Noak","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"375","Nobody Denim","Nobody Denim","48","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Good Progress","Good Progress","Limited Progress","Some Progress","Some Progress"
"376","Noni B","Mosaic Group","30","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence","No Evidence"
"377","Novo Shoes","Novo Shoes Pty Ltd","0","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"378","Nude Lucy","Accent Group","16","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence"
"379","Nudie Jeans Co","Nudie Jeans Co","57","5","This is lower than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Some Progress","Good Progress","Some Progress"
"380","Number One Shoes","Ngahuia Group","0","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"381","Nunn Bush","Weyco Group","7","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"382","Oasis","Boohoo","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"383","Ocean Blues","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"384","Old Navy","Gap INC","46","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"385","Olga","PVH Corp","43","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"386","Onitsuka Tiger","ASICS","31","3","This is lower than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","Good Progress"
"387","Organic Baby by David Jones","David Jones","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"388","Oroton","Oroton Group","27","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Some Progress","Limited Progress","Limited Progress","No Evidence"
"389","Oxelo","Decathlon","32","3","This company is new to the Ethical Fashion Guide and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","No Evidence","Some Progress","Good Progress"
"390","Oxford","Oxford","22","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","Some Progress"
"391","Oysho","Inditex","60","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"392","P.E. Nation","Hot Springs","32","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Some Progress","Some Progress","Some Progress"
"393","Painted Heart","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"394","Papillio","Birkenstock","7","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence","No Evidence"
"395","Paris Sunday","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"396","Patagonia","Patagonia","68","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Good Progress","Some Progress","Some Progress","Good Progress","Good Progress"
"397","Peak Velocity","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"398","Peds","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"399","Perfect Stranger","Universal Store","21","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","Some Progress"
"400","Peter Alexander","Just Group","27","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"401","Pickaberry","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"402","Ping Pong","Voyager Distributing Co","4","1","This is higher than the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","No Evidence","No Evidence"
"403","PINK","Victoria's Secret & Co","38","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"404","Pink Inc","WM Ritchie","2","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"405","Pink Soda Sports","JD Sports","40","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"406","Piper","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"407","Platinum","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"408","Playtex","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"409","Politix","Country Road Group","53","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Some Progress"
"410","POLO","Ralph Lauren","40","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Good Progress"
"411","Portmans","Just Group","27","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"412","Postie","Postie","40","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Limited Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"413","PrettyLittleThing","Boohoo","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"414","Prim + Preux","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"415","Princess Highway","Factory X","36","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"416","Princess Polly","Princess Polly","49","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Good Progress","Some Progress","Limited Progress","Some Progress"
"417","Pull&Bear","Inditex","60","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
